"","date","arima","forest","mean","ar1","naive"
"2000-01-01",2000-01-01,0.00230916698666739,0.00202836302317135,0.00221372071901649,0.00257762445986549,0.00299243757329638
"2000-02-01",2000-02-01,0.00231823062791207,0.00204430559416631,0.00221515829596301,0.00257307605885925,0.00299720245497391
"2000-03-01",2000-03-01,0.002291258856191,0.00204851972429075,0.00220850466077161,0.00249502379751909,0.0029698489346283
"2000-04-01",2000-04-01,0.00241724186568591,0.00229020480572922,0.0023697882418189,0.00255120402778913,0.00300687586043418
"2000-05-01",2000-05-01,0.00209064646623431,0.00199741145793193,0.0022246713047654,0.00265562333242904,0.00307611719653026
"2000-06-01",2000-06-01,0.00196199142972033,0.00189562874905422,0.00204621352033977,0.00223229683699878,0.00262071515186976
"2000-07-01",2000-07-01,0.00215102616847681,0.00211451879351767,0.00204152916383359,0.00240579294682798,0.00286678728577525
"2000-08-01",2000-08-01,0.00191050181121176,0.00201134499358184,0.00192070178028029,0.00232477450476443,0.0027305132588565
"2000-09-01",2000-09-01,0.00210157934484798,0.00211630761688189,0.00216348351023676,0.00244939973347543,0.00280763696049342
"2000-10-01",2000-10-01,0.00223527034832757,0.00222632163295717,0.00221950423399072,0.00268085746425288,0.00314151735313194
"2000-11-01",2000-11-01,0.00226468361518892,0.00222475204814117,0.00222867447023331,0.0027382749015753,0.00322421848395182
"2000-12-01",2000-12-01,0.00227324513504513,0.00223249468417882,0.00226017338683742,0.00273884564091398,0.00322421846731833
"2001-01-01",2001-01-01,0.00227262334235615,0.00223189732839115,0.00229061950395886,0.00273886942915191,0.00322392655200496
"2001-02-01",2001-02-01,0.00245727596401288,0.00242284302757441,0.00244278863265377,0.00287171902411215,0.00336725609682075
"2001-03-01",2001-03-01,0.00245886118223522,0.00235567892893491,0.00239715950937898,0.00296377731109949,0.00349404145607202
"2001-04-01",2001-04-01,0.00241118277564909,0.0021723024705597,0.00237212205460017,0.00297625959487762,0.00349273933803787
"2001-05-01",2001-05-01,0.00211949180183011,0.00197229250205156,0.00212328242991317,0.00247823420934306,0.00297312027177419
"2001-06-01",2001-06-01,0.00223167217241898,0.00215285431116831,0.00224893461102472,0.00258843381458973,0.00305606677651549
"2001-07-01",2001-07-01,0.0019797182237603,0.00185869228898182,0.00206645358100166,0.00247797730660897,0.00293751433470529
"2001-08-01",2001-08-01,0.00228547767263413,0.00213922738867182,0.00243354894761782,0.00270932744766113,0.0030351075850805
"2001-09-01",2001-09-01,0.00216356652713432,0.00212085290146795,0.00233432383541254,0.00255531956871024,0.00295791346393383
"2001-10-01",2001-10-01,0.00215042425942234,0.00198748536181013,0.00225010126894087,0.00241064771415565,0.00279109469017336
"2001-11-01",2001-11-01,0.00261241047719844,0.00244511582579956,0.00276084027221899,0.00295642559073085,0.00325305986850649
"2001-12-01",2001-12-01,0.00262187309207786,0.00256064264050636,0.00286468434572794,0.00295127185942413,0.00331716367466215
"2002-01-01",2002-01-01,0.00264409936053479,0.00265615429380464,0.00296824377258826,0.00297789786152202,0.00331308103421911
"2002-02-01",2002-02-01,0.00251240131391245,0.00247023659814445,0.00284520203835866,0.00286083733235745,0.00322898302224225
"2002-03-01",2002-03-01,0.0024947843113244,0.00247071519142177,0.00284048305075794,0.00275684097951463,0.00307288932033483
"2002-04-01",2002-04-01,0.00248645151733794,0.0024254974550683,0.00270354406216805,0.00269093323162302,0.00305023750351452
"2002-05-01",2002-05-01,0.00258699011562628,0.00252519657862749,0.00276707404425858,0.0027222749506121,0.00307054785615122
"2002-06-01",2002-06-01,0.00250389433766165,0.00243670949253346,0.0026772070905106,0.00274515765892279,0.00306780220698028
"2002-07-01",2002-07-01,0.00249909343551172,0.00246793784975343,0.00270003662412533,0.00269114560895805,0.00296096584415073
"2002-08-01",2002-08-01,0.00222675860027924,0.00221604273815699,0.0023760092799296,0.0023838467531065,0.00277549512840203
"2002-09-01",2002-09-01,0.00217978977717036,0.00214602839758864,0.00226931120315259,0.00238404442566713,0.00273689552465244
"2002-10-01",2002-10-01,0.00198961606028139,0.00207188088029135,0.00223513870762878,0.00228117091009637,0.00251027411161882
"2002-11-01",2002-11-01,0.00125293126686281,0.00150496988549786,0.00153579551004124,0.00124894687332602,0.00159070043596541
"2002-12-01",2002-12-01,0.00121146605396615,0.00128684155391573,0.00127929585695522,0.00128044395081054,0.00146112388436662
"2003-01-01",2003-01-01,0.00116445817357374,0.00107568034260098,0.000954498215640543,0.00123014614179722,0.00146112409434758
"2003-02-01",2003-02-01,0.00139905744746916,0.00128594130859783,0.00112918202086316,0.00135079809471302,0.00152875794261429
"2003-03-01",2003-03-01,0.00158601550582483,0.00161120058782151,0.00140269152725093,0.00139718211503621,0.0015596915049323
"2003-04-01",2003-04-01,0.00156167652124853,0.00160204546877178,0.00141607870840226,0.00166190799430727,0.0018841740601398
"2003-05-01",2003-05-01,0.00224378195078564,0.00220778672692095,0.00218891694893581,0.00237942345694622,0.00240634404230564
"2003-06-01",2003-06-01,0.00230171189241148,0.00233421215187269,0.00237094290375898,0.00221442191060686,0.00229031387243197
"2003-07-01",2003-07-01,0.0022954580541685,0.00230289587767114,0.00234040697442382,0.0021990272862398,0.00241691807713813
"2003-08-01",2003-08-01,0.00234649916325656,0.00233801136604855,0.00235352150319045,0.0022264520553417,0.00245056160853876
"2003-09-01",2003-09-01,0.00245635889253387,0.00241606586942214,0.00241351591846897,0.00224537784010505,0.00246499996482727
"2003-10-01",2003-10-01,0.00248322339780615,0.00242998501432826,0.00241428350332593,0.00222300663174979,0.00246445620182668
