"","date","arima","forest","mean","ar1","naive"
"2000-01-01",2000-01-01,0.00230916698666739,0.00202836302317135,0.00221372071901649,0.00257762445986549,0.00299243757329638
"2000-02-01",2000-02-01,0.00222858294451494,0.00196414366997271,0.00212951446634922,0.00247710415353188,0.00287961912227566
"2000-03-01",2000-03-01,0.00217633886483966,0.00196444055678,0.00210995572220119,0.00240103578144488,0.00279238679241036
"2000-04-01",2000-04-01,0.00221523001474635,0.00212033800676288,0.00220667659250406,0.00237186789317549,0.0027348120959118
"2000-05-01",2000-05-01,0.00236493247511605,0.00220447359696342,0.00233361586023271,0.00270419530678521,0.00310031818184506
"2000-06-01",2000-06-01,0.00229672392199431,0.00213912602773216,0.00227571966040367,0.00263430594840941,0.00306077400486991
"2000-07-01",2000-07-01,0.00239396322224175,0.00226021515513555,0.0023370689870557,0.00268812167664622,0.00312542184684355
"2000-08-01",2000-08-01,0.0023305217196694,0.00220981245368996,0.00227504052600016,0.00266400843488109,0.00311518172601714
"2000-09-01",2000-09-01,0.00237085430330707,0.00221443881309508,0.00234883852749862,0.00268863590372817,0.0031047485182103
"2000-10-01",2000-10-01,0.00241764274041584,0.00227324709942734,0.00236295197414651,0.00276704682242508,0.00323527116370977
"2000-11-01",2000-11-01,0.0023841424402522,0.00222160179046867,0.00231832308259742,0.00277462117226005,0.00324636709326724
"2000-12-01",2000-12-01,0.00234011911039084,0.00217748393740788,0.0022844736307448,0.00271665537395651,0.00317500971275811
"2001-01-01",2001-01-01,0.00229096802995334,0.0021325597574568,0.00225249829452984,0.0026594692709298,0.00311033640003766
"2001-02-01",2001-02-01,0.00234114525125941,0.00219630785334853,0.00228525193234311,0.00267379749927443,0.00312320121171084
"2001-03-01",2001-03-01,0.0023110295052422,0.002153861044822,0.00224707732104793,0.00267551095717002,0.0031357973120514
"2001-04-01",2001-04-01,0.00230437819044803,0.00214358884969978,0.00228168943468574,0.00265751076548019,0.00309467101704484
"2001-05-01",2001-05-01,0.00226300555335186,0.00210810099038996,0.0022458862954316,0.00260975158692031,0.00304645517108515
"2001-06-01",2001-06-01,0.00227003206249138,0.00214481735404569,0.00226467461431295,0.00261542195749832,0.00305882706481753
"2001-07-01",2001-07-01,0.00223748735054818,0.00210880021304789,0.00223276219762167,0.00260609813742706,0.0030516476236741
"2001-08-01",2001-08-01,0.00231318936742406,0.00218275998986859,0.0023376739491553,0.0026816421335481,0.00308443189296364
"2001-09-01",2001-09-01,0.00229531618163915,0.00217981499713005,0.00234340605335041,0.00263943150623343,0.00305051374744912
"2001-10-01",2001-10-01,0.0023240300601257,0.00217368474085787,0.00232254987434104,0.00264301354224688,0.00308117000795565
"2001-11-01",2001-11-01,0.00246712046890805,0.00230296749841696,0.00248352542497652,0.00284011663789339,0.00324873082363358
"2001-12-01",2001-12-01,0.00244038781168849,0.00231600471030207,0.00249862734606696,0.00279931136806497,0.0032244542913025
"2002-01-01",2002-01-01,0.0024144240484304,0.00232025701670779,0.00251382631508415,0.00276968285065861,0.00317935480782401
"2002-02-01",2002-02-01,0.00239802819637837,0.00228874467467613,0.00248074479621414,0.00273586050292732,0.00315789710013255
"2002-03-01",2002-03-01,0.00237059662070079,0.00225872725629136,0.00245004509193565,0.00270145865650359,0.00311606883597081
"2002-04-01",2002-04-01,0.00236189614494863,0.00223412192400549,0.00241933814966543,0.00266783919833147,0.00308106741799534
"2002-05-01",2002-05-01,0.00236486601135357,0.00224139424871926,0.00241408643306906,0.00264401146249826,0.00305370293540097
"2002-06-01",2002-06-01,0.00234089915822186,0.00223420003032833,0.00239278914616627,0.00265404989809764,0.00306145665925028
"2002-07-01",2002-07-01,0.00231525019376651,0.00221735447753287,0.0023756662433599,0.00263067799209721,0.00302601585199874
"2002-08-01",2002-08-01,0.00228939741692857,0.00219209903327554,0.00234843513186616,0.00260196725491341,0.00300141750102859
"2002-09-01",2002-09-01,0.00226439358543851,0.00217065262543686,0.00232343271626853,0.00257229633665834,0.00296826953452675
"2002-10-01",2002-10-01,0.00223974047891514,0.00214700908874787,0.00229956513680564,0.00255154449061458,0.00293979136741634
"2002-11-01",2002-11-01,0.00221548540657014,0.00212389934888572,0.00227468375453704,0.00252367634303097,0.00290878915983909
"2002-12-01",2002-12-01,0.00219309381923903,0.00210170780533638,0.00225099990162032,0.00250080619031879,0.00287881952665025
"2003-01-01",2003-01-01,0.00217050070806944,0.00208013617764579,0.00222873479080002,0.00247622135570893,0.00284867401615137
"2003-02-01",2003-02-01,0.00219581369990102,0.00208817257998695,0.00222693222664209,0.002469563191554,0.00284648308490987
"2003-03-01",2003-03-01,0.00220787236525831,0.00212142340472744,0.00224371976165983,0.00245252853813062,0.00282194004445884
"2003-04-01",2003-04-01,0.00219995358803821,0.00210256298448339,0.00222436610540814,0.00246831105118901,0.00284511078250801
"2003-05-01",2003-05-01,0.00233748031410169,0.00223368354753072,0.00236402859040528,0.00258535720044519,0.00291709142715011
"2003-06-01",2003-06-01,0.00233208423767537,0.00225723238968669,0.00238786033081753,0.00256112883463738,0.0029048419030998
"2003-07-01",2003-07-01,0.00231086659009716,0.00223664642315814,0.00236787622402536,0.0025411001313514,0.00290173108370059
"2003-08-01",2003-08-01,0.0023019767899527,0.00222475080179916,0.0023495458247416,0.00252480461771316,0.00289019920053524
"2003-09-01",2003-09-01,0.00230687417506764,0.00222552054712784,0.00234302784453008,0.00250583544400365,0.00286787052414195
"2003-10-01",2003-10-01,0.00229314946567991,0.00220959664200611,0.00232418697288803,0.00248598940647485,0.00284632520927305
