date,arima,ar1,sample,mean,strict_ar1,naive,infl,ar1_diff,arima_diff,ar1_sample_diff,ar1_mean_diff,strict_diff,closer,sample_closer,mean_closer,strict_closer,any_closer
1999-01-01,0.00154884397604232,0.001922551034283625,0.00167636582622434,0.00179945843025398,0.00238878693389762,0.00182648452603473,0.00182315456151461,9.93964727690189e-05,-0.000274310585472282,-0.000146788735290267,-2.3696131260624e-05,0.00056563237238301,ar1,ar1,ar1,ar1,ar1
1999-02-01,0.00179907195919877,0.0021183229329529035,0.00187674988267129,0.0019975364078121,0.00238494330120741,0.00182315456151461,0,0.0021183229329529,0.00179907195919877,0.00187674988267129,0.0019975364078121,0.00238494330120741,arima,arima,arima,ar1,arima
1999-03-01,0.00103130942714562,0.0013494218117949984,0.00149282211845342,0.00142112196512421,0.00113115689617641,0,0.000606980291776971,0.000742441520018028,0.000424329135368648,0.000885841826676446,0.000814141673347237,0.000524176604399438,arima,arima,arima,arima,arima
1999-04-01,0.00086078409258892,0.0015065414614180816,0.00159000779119669,0.00154827462630739,0.00154453928778236,0.000606980291776971,0.00665257972102751,-0.00514603825960943,-0.00579179562843859,-0.00506257192983082,-0.00510430509472012,-0.00510804043324515,ar1,ar1,ar1,ar1,ar1
1999-05-01,0.00314113615357742,0.003703157615938813,0.00257268098891639,0.0031379193024276,0.00568197403352622,0.00665257972102751,0.000602591160144605,0.00310056645579421,0.00253854499343282,0.00197008982877179,0.002535328142283,0.00507938287338162,arima,ar1,ar1,ar1,ar1
1999-06-01,0.00203839317313475,0.0019987153008460766,0.00190802606956568,0.00195337068520588,0.00156173850268764,0.000602591160144605,0,0.00199871530084608,0.00203839317313475,0.00190802606956568,0.00195337068520588,0.00156173850268764,ar1,ar1,ar1,arima,ar1
1999-07-01,0.000778864957442514,0.0014671034390494975,0.00179596102793435,0.00163153223349192,0.00114645445967057,0,0.00420800140020461,-0.00274089796115511,-0.00342913644276209,-0.00241204037227026,-0.00257646916671269,-0.00306154694053404,ar1,ar1,ar1,ar1,ar1
1999-08-01,0.00224082076815883,0.0019405454256298108,0.00204924875919477,0.00199489709241229,0.00400710910060084,0.00420800140020461,0.00239664584460009,-0.000456100418970276,-0.000155825076441257,-0.000347397085405313,-0.000401748752187795,0.00161046325600075,arima,arima,arima,ar1,arima
1999-09-01,0.00234505223748081,0.0018267325040027481,0.00198479549768846,0.0019057640008456,0.00277928821955126,0.00239664584460009,0.0041803584317579,-0.00235362592775515,-0.00183530619427709,-0.00219556293406945,-0.0022745944309123,-0.00140107021220664,arima,arima,arima,arima,arima
1999-10-01,0.00263344699026402,0.0021332205036672675,0.00210805902169343,0.00212063976268035,0.00398764491588514,0.0041803584317579,0.00178624638146374,0.000346974122203527,0.000847200608800279,0.000321812640229689,0.000334393381216607,0.0022013985344214,ar1,ar1,ar1,ar1,ar1
1999-11-01,0.00244217345128048,0.0018952533543776155,0.00200864549157588,0.00195194942297675,0.00236612853508886,0.00178624638146374,0.00178306139365603,0.000112191960721589,0.000659112057624453,0.000225584097919848,0.000168888029320718,0.000583067141432834,ar1,ar1,ar1,ar1,ar1
1999-12-01,0.00215539505456001,0.0022161556153819186,0.00198365293448201,0.00209990427493196,0.00236238427873113,0.00178306139365603,0.00237248035363091,-0.000156324738248994,-0.000217085299070898,-0.000388827419148904,-0.000272576078698949,-1.00960748997837e-05,ar1,arima,arima,arima,ar1
2000-01-01,0.00219708935989606,0.002004156117272834,0.00204337523191025,0.00202376567459154,0.00276070300869198,0.00237248035363091,0.00295770697723263,-0.000953550859959799,-0.000760617617336571,-0.000914331745322387,-0.000933941302641093,-0.000197003968540649,arima,arima,arima,arima,arima
2000-02-01,0.00280525929475386,0.002155549690190842,0.00208480476154066,0.00212017722586575,0.00315607848266899,0.00295770697723263,0.0041261479111725,-0.00197059822098165,-0.00132088861641863,-0.00204134314963183,-0.00200597068530674,-0.000970069428503504,arima,arima,arima,arima,arima
2000-03-01,0.0031635739116133,0.002414455802513447,0.00216156330805566,0.00228800955528456,0.00394763672568313,0.0041261479111725,0.0058651194523982,-0.00345066364988476,-0.0027015455407849,-0.00370355614434254,-0.00357710989711365,-0.00191748272671508,arima,arima,arima,arima,arima
2000-04-01,0.00339973304497014,0.003275183324913819,0.00247287074080046,0.00287402703285714,0.00512611027532028,0.0058651194523982,-0.000584966381114604,0.00386014970602842,0.00398469942608474,0.00305783712191507,0.00345899341397174,0.00571107665643489,ar1,ar1,ar1,ar1,ar1
2000-05-01,0.00218689017457571,0.002274905695607666,0.00193499129540085,0.00210494849550426,0.00076904010209886,-0.000584966381114604,0.0017538735860958,0.000521032109511866,0.000433016588479911,0.000181117709305051,0.000351074909408459,-0.00098483348399694,arima,ar1,ar1,ar1,ar1
2000-06-01,0.00215192387795314,0.002541085477501103,0.00201212053360851,0.00227660300555481,0.00234629655268587,0.0017538735860958,0.00582412828598855,-0.00328304280848745,-0.00367220440803541,-0.00381200775238004,-0.00354752528043374,-0.00347783173330268,ar1,arima,ar1,arima,ar1
2000-07-01,0.00308970832165555,0.0020255485619187557,0.00210917481100903,0.00206736168646389,0.00508432135211052,0.00582412828598855,0.00289939315900245,-0.000873844597083694,0.000190315162653104,-0.000790218347993424,-0.000832031472538559,0.00218492819310807,arima,arima,arima,ar1,arima
2000-08-01,0.00303705520513322,0.0027243858155884338,0.00219201106264827,0.00245819843911835,0.00311983694687563,0.00289939315900245,0,0.00272438581558843,0.00303705520513322,0.00219201106264827,0.00245819843911835,0.00311983694687563,ar1,ar1,ar1,ar1,ar1
